,LMA,MinPrice,MaxPrice,MARKET,STRATEGY,OUT
1382,290,6,12,1.2189619644994159,1.0,-0.21896196449941585
1402,290,10,16,1.2189619644994159,1.0,-0.21896196449941585
1368,290,4,2,1.2189619644994159,1.0,-0.21896196449941585
1404,290,12,2,1.2189619644994159,1.0,-0.21896196449941585
1431,290,18,2,1.2189619644994159,1.0,-0.21896196449941585
1424,290,16,6,1.2189619644994159,1.0,-0.21896196449941585
1425,290,16,8,1.2189619644994159,1.0,-0.21896196449941585
1426,290,16,10,1.2189619644994159,1.0,-0.21896196449941585
1427,290,16,12,1.2189619644994159,1.0,-0.21896196449941585
1428,290,16,14,1.2189619644994159,1.0,-0.21896196449941585
1430,290,16,18,1.2189619644994159,1.0,-0.21896196449941585
1432,290,18,4,1.2189619644994159,1.0,-0.21896196449941585
1422,290,16,2,1.2189619644994159,1.0,-0.21896196449941585
1433,290,18,6,1.2189619644994159,1.0,-0.21896196449941585
1434,290,18,8,1.2189619644994159,1.0,-0.21896196449941585
1435,290,18,10,1.2189619644994159,1.0,-0.21896196449941585
1436,290,18,12,1.2189619644994159,1.0,-0.21896196449941585
1437,290,18,14,1.2189619644994159,1.0,-0.21896196449941585
1438,290,18,16,1.2189619644994159,1.0,-0.21896196449941585
1423,290,16,4,1.2189619644994159,1.0,-0.21896196449941585
1429,290,16,16,1.2189619644994159,1.0,-0.21896196449941585
1421,290,14,18,1.2189619644994159,1.0,-0.21896196449941585
1413,290,14,2,1.2189619644994159,1.0,-0.21896196449941585
1420,290,14,16,1.2189619644994159,1.0,-0.21896196449941585
1407,290,12,8,1.2189619644994159,1.0,-0.21896196449941585
1408,290,12,10,1.2189619644994159,1.0,-0.21896196449941585
1409,290,12,12,1.2189619644994159,1.0,-0.21896196449941585
1410,290,12,14,1.2189619644994159,1.0,-0.21896196449941585
1411,290,12,16,1.2189619644994159,1.0,-0.21896196449941585
1412,290,12,18,1.2189619644994159,1.0,-0.21896196449941585
1406,290,12,6,1.2189619644994159,1.0,-0.21896196449941585
1414,290,14,4,1.2189619644994159,1.0,-0.21896196449941585
