date,time,Mid,Returns,Direction
1/29/2021,9:30:00,37621.9,0.037055,1
1/29/2021,9:40:00,37627.34,0.000145,1
1/29/2021,9:10:00,35661.24,-0.018968,-1
1/29/2021,9:20:00,36253.33,0.016467,1
1/29/2021,9:30:00,37621.9,0.037055,1
1/29/2021,9:40:00,37532.51,-0.002379,-1
1/29/2021,9:50:00,37549.71,0.000458,1
1/29/2021,9:20:00,36253.33,0.016467,1
1/29/2021,9:30:00,37621.9,0.037055,1
1/29/2021,9:40:00,37532.51,-0.002379,-1
1/29/2021,9:50:00,37091.15,-0.011829,-1
1/29/2021,10:00:00,37111.1,0.000538,1
1/29/2021,9:30:00,37621.9,0.037055,1
1/29/2021,9:40:00,37532.51,-0.002379,-1
1/29/2021,9:50:00,37091.15,-0.011829,-1
1/29/2021,10:00:00,36982.86,-0.002924,-1
1/29/2021,10:10:00,36984.32,0.000039,1
1/29/2021,9:40:00,37532.51,-0.002379,-1
1/29/2021,9:50:00,37091.15,-0.011829,-1
1/29/2021,10:00:00,36982.86,-0.002924,-1
1/29/2021,10:10:00,36282.75,-0.019112,-1
1/29/2021,10:20:00,36308.5,0.000709,1
1/29/2021,9:50:00,37091.15,-0.011829,-1
1/29/2021,10:00:00,36982.86,-0.002924,-1
1/29/2021,10:10:00,36282.75,-0.019112,-1
1/29/2021,10:20:00,36239.76,-0.001186,-1
1/29/2021,10:30:00,36239.93,0.000005,1
1/29/2021,10:00:00,36982.86,-2.92E-03,-1
1/29/2021,10:10:00,36282.75,-1.91E-02,-1
1/29/2021,10:20:00,36239.76,-1.19E-03,-1
1/29/2021,10:30:00,35650.17,-1.64E-02,-1
1/29/2021,10:40:00,35650.16,-2.81E-07,-1
1/29/2021,10:10:00,36282.75,-0.019112,-1
1/29/2021,10:20:00,36239.76,-0.001186,-1
1/29/2021,10:30:00,35650.17,-0.016403,-1
1/29/2021,10:40:00,36680.88,0.028502,1
1/29/2021,10:50:00,36680.88,0,-1
1/29/2021,10:20:00,36239.76,-0.001186,-1
1/29/2021,10:30:00,35650.17,-0.016403,-1
1/29/2021,10:40:00,36680.88,0.028502,1
1/29/2021,10:50:00,36515.84,-0.004509,-1
1/29/2021,11:00:00,36513.71,-0.000058,-1
1/29/2021,10:30:00,35650.17,-0.016403,-1
1/29/2021,10:40:00,36680.88,0.028502,1
1/29/2021,10:50:00,36515.84,-0.004509,-1
1/29/2021,11:00:00,36697.23,0.004955,1
1/29/2021,11:10:00,36686.34,-0.000297,-1
1/29/2021,10:40:00,36680.88,0.028502,1
1/29/2021,10:50:00,36515.84,-0.004509,-1
1/29/2021,11:00:00,36697.23,0.004955,1
1/29/2021,11:10:00,36996.12,0.008112,1
1/29/2021,11:20:00,36996.12,0,-1
1/29/2021,10:50:00,36515.84,-0.004509,-1
1/29/2021,11:00:00,36697.23,0.004955,1
1/29/2021,11:10:00,36996.12,0.008112,1
1/29/2021,11:20:00,36662.87,-0.009049,-1
1/29/2021,11:30:00,36657.67,-0.000142,-1
1/29/2021,11:00:00,36697.23,0.004955,1
1/29/2021,11:10:00,36996.12,0.008112,1
1/29/2021,11:20:00,36662.87,-0.009049,-1
1/29/2021,11:30:00,37045.94,0.010394,1
