<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC.V,5,20201213,201000,19171.4,19175.4,19164.8,19174.6,0,0
BTC.V,5,20201213,201500,19165.4,19167.9,19162.4,19165.8,0,0
BTC.V,5,20201213,202000,19166.6,19192.1,19164.6,19191.8,0,0
BTC.V,5,20201213,202500,19192.8,19193.6,19188.6,19191.4,0,0
BTC.V,5,20201213,203000,19191.8,19214.1,19174.8,19174.8,0,0
BTC.V,5,20201213,203500,19171.5,19177.8,19171,19175.2,0,0
BTC.V,5,20201213,204000,19175.1,19177.6,19171.9,19177.6,0,0
BTC.V,5,20201213,204500,19177.8,19200,19177.4,19199.4,0,0
BTC.V,5,20201213,205000,19200.7,19220.5,19195.6,19195.6,0,0
BTC.V,5,20201213,205500,19197,19197.7,19183,19183,0,0
BTC.V,5,20201213,210000,19183.1,19183.3,19155.7,19155.7,0,0
BTC.V,5,20201213,210500,19157.1,19160.4,19144.9,19144.9,0,0
BTC.V,5,20201213,211000,19143.7,19157.6,19140,19157.6,0,0
BTC.V,5,20201213,211500,19162.9,19181,19158.8,19167.2,0,0
BTC.V,5,20201213,212000,19167.6,19167.6,19138.7,19143.7,0,0
BTC.V,5,20201213,212500,19144.7,19149.4,19123.7,19126.2,0,0
BTC.V,5,20201213,213000,19122.6,19122.6,19112.7,19115.8,0,0
BTC.V,5,20201213,213500,19117.2,19144.7,19117.2,19126,0,0
BTC.V,5,20201213,214000,19125.6,19135.3,19123.8,19128,0,0
BTC.V,5,20201213,214500,19128.2,19164.7,19127.8,19153.4,0,0
BTC.V,5,20201213,215000,19152.3,19152.6,19139.1,19147.2,0,0
BTC.V,5,20201213,215500,19145.2,19166.8,19145.2,19152.8,0,0
BTC.V,5,20201213,220000,19155.4,19169.4,19148.3,19169.4,0,0
BTC.V,5,20201213,220500,19169.9,19193.2,19169.7,19193.2,0,0
BTC.V,5,20201213,221000,19195.2,19217.5,19195.2,19212.2,0,0
BTC.V,5,20201213,221500,19214.9,19214.9,19194.3,19194.3,0,0
BTC.V,5,20201213,222000,19195.5,19215.4,19190.9,19211.4,0,0
BTC.V,5,20201213,222500,19213.7,19213.7,19195.6,19195.6,0,0
BTC.V,5,20201213,223000,19190.4,19198.4,19176.3,19178.3,0,0
BTC.V,5,20201213,223500,19178.8,19183.8,19175,19177.6,0,0
BTC.V,5,20201213,224000,19177.7,19184.5,19174.4,19183.7,0,0
BTC.V,5,20201213,224500,19184.5,19185,19175.5,19179.3,0,0
BTC.V,5,20201213,225000,19181.2,19182.2,19174.5,19182.2,0,0
BTC.V,5,20201213,225500,19187,19187.9,19175.1,19181.7,0,0
BTC.V,5,20201213,230000,19183.8,19184.5,19175,19175,0,0
BTC.V,5,20201213,230500,19175.9,19175.9,19163.4,19164.4,0,0
BTC.V,5,20201213,231000,19163.1,19164.9,19159.9,19159.9,0,0
BTC.V,5,20201213,231500,19160.6,19160.6,19050.6,19054.6,0,0
BTC.V,5,20201213,232000,19054.9,19054.9,18996.7,19035.2,0,0
BTC.V,5,20201213,232500,19035.3,19035.3,18995.4,18997.2,0,0
BTC.V,5,20201213,233000,18997.5,19027.7,18997.5,19027.7,0,0
BTC.V,5,20201213,233500,19029.7,19090.2,19029.7,19054.1,0,0
BTC.V,5,20201213,234000,19054.2,19070.6,19054.1,19068.7,0,0
BTC.V,5,20201213,234500,19069,19092.1,19051.6,19086.8,0,0
BTC.V,5,20201213,235000,19086,19117.2,19086,19107.5,0,0
BTC.V,5,20201213,235500,19106,19111.3,19094.2,19111.3,0,0
BTC.V,5,20201214,000000,19109.6,19115.5,19091.3,19093.9,0,0
BTC.V,5,20201214,000500,19093.1,19141.1,19093.1,19140.8,0,0
BTC.V,5,20201214,001000,19142.4,19184.2,19142.4,19168,0,0
BTC.V,5,20201214,001500,19174.8,19182.1,19169.3,19175.9,0,0
BTC.V,5,20201214,002000,19174.7,19189,19169.8,19189,0,0
