<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTC.V,60,20200619,180000,9361.18,9377.74,9356.21,9377.74,0,0
BTC.V,60,20200619,190000,9379.15,9382,9316.53,9339.99,0,0
BTC.V,60,20200619,200000,9336.92,9344.31,9293.55,9313.39,0,0
BTC.V,60,20200619,210000,9312.43,9326.85,9264.81,9322.88,0,0
BTC.V,60,20200619,220000,9323.73,9335.84,9300.21,9306.55,0,0
BTC.V,60,20200619,230000,9304.05,9315.86,9261.67,9314.74,0,0
BTC.V,60,20200619,235900,9315.95,9337.45,9286.44,9324.16,0,0
BTC.V,60,20200620,010000,9324.94,9348.05,9284.93,9295.52,0,0
BTC.V,60,20200620,020000,9293.04,9310.56,9271.26,9301.56,0,0
BTC.V,60,20200620,030000,9301.83,9328.45,9291.66,9296.83,0,0
BTC.V,60,20200620,040000,9295.31,9321.66,9287.1,9317.12,0,0
BTC.V,60,20200620,050000,9316.47,9321.09,9307.35,9320.8,0,0
BTC.V,60,20200620,060000,9320.73,9344.54,9319.55,9325.27,0,0
BTC.V,60,20200620,070000,9325.6,9326.11,9292.17,9315.53,0,0
BTC.V,60,20200620,080000,9314.98,9321.09,9302.16,9303.2,0,0
BTC.V,60,20200620,090000,9303.47,9323.24,9301.7,9312.5,0,0
BTC.V,60,20200620,100000,9313.27,9318.43,9294.29,9298.85,0,0
BTC.V,60,20200620,110000,9298.52,9305.65,9278.95,9279.82,0,0
BTC.V,60,20200620,120000,9280.69,9299.05,9270.22,9289.21,0,0
BTC.V,60,20200620,130000,9287.4,9295.5,9279.19,9294.4,0,0
BTC.V,60,20200620,140000,9294.15,9324.85,9184.09,9324.85,0,0
BTC.V,60,20200620,150000,9326.81,9329.51,9301.53,9303.6,0,0
BTC.V,60,20200620,160000,9302.5,9309.26,9285.07,9287.51,0,0
BTC.V,60,20200620,170000,9290.24,9300.19,9277.85,9283.86,0,0
BTC.V,60,20200620,180000,9283.1,9283.57,9244.3,9265.8,0,0
BTC.V,60,20200620,190000,9265.71,9282.01,9247.36,9270.89,0,0
BTC.V,60,20200620,200000,9267.87,9276.53,9264.45,9268.27,0,0
BTC.V,60,20200620,210000,9274.8,9313.28,9273.13,9312.69,0,0
BTC.V,60,20200620,220000,9314.18,9318.06,9289.57,9291.61,0,0
BTC.V,60,20200620,230000,9290.6,9333.8,9290.6,9325.95,0,0
BTC.V,60,20200620,235900,9323.24,9352.55,9323.15,9339.38,0,0
BTC.V,60,20200621,010000,9339.37,9393.68,9339.37,9374.07,0,0
BTC.V,60,20200621,020000,9375.38,9378.59,9352.81,9358.39,0,0
BTC.V,60,20200621,030000,9359.18,9383.52,9350.86,9363.66,0,0
BTC.V,60,20200621,040000,9362.59,9379.42,9361.41,9372.55,0,0
BTC.V,60,20200621,050000,9372.77,9402.64,9365.55,9371.46,0,0
BTC.V,60,20200621,060000,9372.49,9378.19,9363.19,9370.43,0,0
BTC.V,60,20200621,070000,9370.97,9380.92,9370.97,9372.09,0,0
BTC.V,60,20200621,080000,9372.97,9395.38,9372.13,9391.83,0,0
BTC.V,60,20200621,090000,9391.57,9413.96,9376.12,9376.28,0,0
BTC.V,60,20200621,100000,9376.14,9383.44,9367.78,9370.59,0,0
BTC.V,60,20200621,110000,9369.52,9376.05,9360.81,9363.04,0,0
BTC.V,60,20200621,120000,9363.15,9377.6,9363.15,9370.5,0,0
BTC.V,60,20200621,130000,9368.7,9368.7,9338.67,9355.85,0,0
BTC.V,60,20200621,140000,9356.06,9360.73,9345.44,9357.71,0,0
BTC.V,60,20200621,150000,9357.51,9363.65,9346.23,9347.03,0,0
