<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MATIC.V,D,20200321,000000,0.01086,0.01177,0.01059,0.01121,0,0
MATIC.V,D,20200322,000000,0.01121,0.01121,0.009966,0.01008,0,0
MATIC.V,D,20200323,000000,0.01008,0.01145,0.01008,0.01119,0,0
MATIC.V,D,20200324,000000,0.01119,0.01184,0.01117,0.0113,0,0
MATIC.V,D,20200325,000000,0.0113,0.01165,0.01098,0.01145,0,0
MATIC.V,D,20200326,000000,0.01145,0.01243,0.01142,0.01189,0,0
MATIC.V,D,20200327,000000,0.01189,0.01189,0.01072,0.01085,0,0
MATIC.V,D,20200328,000000,0.01085,0.01085,0.01032,0.01069,0,0
MATIC.V,D,20200329,000000,0.01069,0.01069,0.009882,0.01,0,0
MATIC.V,D,20200330,000000,0.01,0.01114,0.01,0.01069,0,0
MATIC.V,D,20200331,000000,0.01069,0.01118,0.01066,0.01105,0,0
MATIC.V,D,20200401,000000,0.01105,0.01193,0.01105,0.01126,0,0
MATIC.V,D,20200402,000000,0.01126,0.01204,0.01126,0.0115,0,0
MATIC.V,D,20200403,000000,0.0115,0.0116,0.01133,0.01153,0,0
MATIC.V,D,20200404,000000,0.01153,0.0119,0.01153,0.01169,0,0
MATIC.V,D,20200405,000000,0.01169,0.01169,0.01133,0.01146,0,0
MATIC.V,D,20200406,000000,0.01146,0.01374,0.01146,0.01359,0,0
MATIC.V,D,20200407,000000,0.01359,0.01368,0.01275,0.01296,0,0
MATIC.V,D,20200408,000000,0.01296,0.01392,0.01296,0.01378,0,0
MATIC.V,D,20200409,000000,0.01378,0.01398,0.01333,0.01361,0,0
MATIC.V,D,20200410,000000,0.01361,0.01369,0.01153,0.01209,0,0
MATIC.V,D,20200411,000000,0.01208,0.01265,0.01183,0.01217,0,0
MATIC.V,D,20200412,000000,0.01217,0.01299,0.01188,0.01269,0,0
MATIC.V,D,20200413,000000,0.01269,0.0128,0.01156,0.01211,0,0
MATIC.V,D,20200414,000000,0.01205,0.01254,0.01179,0.01201,0,0
MATIC.V,D,20200415,000000,0.01201,0.01228,0.01166,0.0118,0,0
MATIC.V,D,20200416,000000,0.01187,0.0127,0.01123,0.0126,0,0
MATIC.V,D,20200417,000000,0.0126,0.01308,0.01244,0.01277,0,0
MATIC.V,D,20200418,000000,0.01277,0.01355,0.01273,0.01338,0,0
MATIC.V,D,20200419,000000,0.01338,0.01362,0.01273,0.01311,0,0
MATIC.V,D,20200420,000000,0.01311,0.01334,0.01178,0.01208,0,0
MATIC.V,D,20200421,000000,0.01207,0.01232,0.0117,0.01215,0,0
MATIC.V,D,20200422,000000,0.01215,0.01282,0.01196,0.01278,0,0
MATIC.V,D,20200423,000000,0.01278,0.01477,0.01247,0.01467,0,0
MATIC.V,D,20200424,000000,0.01459,0.0158,0.01417,0.01488,0,0
MATIC.V,D,20200425,000000,0.0148,0.01549,0.01437,0.01484,0,0
MATIC.V,D,20200426,000000,0.01484,0.01613,0.01475,0.01542,0,0
MATIC.V,D,20200427,000000,0.01542,0.01604,0.01477,0.01525,0,0
MATIC.V,D,20200428,000000,0.01524,0.01581,0.01493,0.01556,0,0
MATIC.V,D,20200429,000000,0.01555,0.01699,0.01546,0.0165,0,0
MATIC.V,D,20200430,000000,0.01649,0.01666,0.01537,0.01569,0,0
MATIC.V,D,20200501,000000,0.01569,0.01641,0.01537,0.01601,0,0
MATIC.V,D,20200502,000000,0.01602,0.01689,0.01573,0.01671,0,0
MATIC.V,D,20200503,000000,0.01671,0.01802,0.01657,0.0171,0,0
MATIC.V,D,20200504,000000,0.0171,0.01743,0.01571,0.0171,0,0
MATIC.V,D,20200505,000000,0.01719,0.01726,0.01634,0.01687,0,0
MATIC.V,D,20200506,000000,0.01687,0.01821,0.01672,0.01794,0,0
MATIC.V,D,20200507,000000,0.01794,0.01798,0.01667,0.0173,0,0
MATIC.V,D,20200508,000000,0.01729,0.01858,0.01706,0.01802,0,0
MATIC.V,D,20200509,000000,0.01802,0.01842,0.01753,0.01758,0,0
MATIC.V,D,20200510,000000,0.01768,0.0177,0.01372,0.01527,0,0
MATIC.V,D,20200511,000000,0.01527,0.01557,0.01392,0.01501,0,0
MATIC.V,D,20200512,000000,0.01501,0.0182,0.01485,0.01715,0,0
MATIC.V,D,20200513,000000,0.01716,0.0199,0.01689,0.01976,0,0
MATIC.V,D,20200514,000000,0.01975,0.02163,0.01954,0.02005,0,0
MATIC.V,D,20200515,000000,0.02015,0.02081,0.01885,0.01949,0,0
MATIC.V,D,20200516,000000,0.01949,0.02097,0.01859,0.02036,0,0
MATIC.V,D,20200517,000000,0.02027,0.02093,0.01989,0.0204,0,0
MATIC.V,D,20200518,000000,0.0205,0.02116,0.02011,0.02053,0,0
MATIC.V,D,20200519,000000,0.02053,0.02295,0.02013,0.02208,0,0
MATIC.V,D,20200520,000000,0.02208,0.02242,0.01956,0.02111,0,0
MATIC.V,D,20200521,000000,0.02111,0.0212,0.01824,0.0192,0,0
MATIC.V,D,20200522,000000,0.0193,0.02104,0.01895,0.02044,0,0
MATIC.V,D,20200523,000000,0.02044,0.0208,0.01962,0.02021,0,0
MATIC.V,D,20200524,000000,0.02012,0.02176,0.01978,0.02019,0,0
MATIC.V,D,20200525,000000,0.0202,0.0214,0.01909,0.02118,0,0
MATIC.V,D,20200526,000000,0.02119,0.02673,0.02104,0.02637,0,0
MATIC.V,D,20200527,000000,0.02628,0.0268,0.02368,0.02412,0,0
MATIC.V,D,20200528,000000,0.02412,0.02671,0.02378,0.02539,0,0
MATIC.V,D,20200529,000000,0.02539,0.02689,0.02473,0.02554,0,0
MATIC.V,D,20200530,000000,0.02555,0.02596,0.02462,0.02494,0,0
MATIC.V,D,20200531,000000,0.02494,0.0252,0.02114,0.02148,0,0
MATIC.V,D,20200601,000000,0.02148,0.0227,0.01966,0.02239,0,0
MATIC.V,D,20200602,000000,0.0224,0.02311,0.01983,0.02086,0,0
MATIC.V,D,20200603,000000,0.02086,0.02188,0.02038,0.02166,0,0
MATIC.V,D,20200604,000000,0.02166,0.02215,0.02058,0.02141,0,0
MATIC.V,D,20200605,000000,0.02141,0.02186,0.01995,0.02048,0,0
MATIC.V,D,20200606,000000,0.02049,0.02092,0.02013,0.02065,0,0
MATIC.V,D,20200607,000000,0.02075,0.02082,0.01959,0.0202,0,0
MATIC.V,D,20200608,000000,0.0202,0.02074,0.0202,0.0204,0,0
MATIC.V,D,20200609,000000,0.02039,0.0205,0.01995,0.02024,0,0
MATIC.V,D,20200610,000000,0.02024,0.02197,0.02001,0.02129,0,0
MATIC.V,D,20200611,000000,0.02129,0.02199,0.01938,0.02009,0,0
MATIC.V,D,20200612,000000,0.02009,0.02057,0.01954,0.0202,0,0
MATIC.V,D,20200613,000000,0.0203,0.02078,0.0202,0.02055,0,0
MATIC.V,D,20200614,000000,0.02055,0.02147,0.02034,0.02073,0,0
MATIC.V,D,20200615,000000,0.02074,0.02076,0.01881,0.02029,0,0
MATIC.V,D,20200616,000000,0.02029,0.02089,0.02005,0.02054,0,0
MATIC.V,D,20200617,000000,0.02053,0.02129,0.02008,0.02061,0,0
MATIC.V,D,20200618,000000,0.02061,0.02082,0.02013,0.02042,0,0
MATIC.V,D,20200619,000000,0.02042,0.02081,0.01986,0.02023,0,0
MATIC.V,D,20200620,000000,0.02024,0.02232,0.02009,0.02204,0,0
MATIC.V,D,20200621,000000,0.02204,0.02302,0.02144,0.02155,0,0
MATIC.V,D,20200622,000000,0.02155,0.02244,0.0212,0.02209,0,0
MATIC.V,D,20200623,000000,0.02209,0.02298,0.02186,0.02248,0,0
MATIC.V,D,20200624,000000,0.02248,0.02281,0.02138,0.02205,0,0
MATIC.V,D,20200625,000000,0.02205,0.02244,0.02118,0.02177,0,0
MATIC.V,D,20200626,000000,0.02186,0.02196,0.02059,0.02101,0,0
MATIC.V,D,20200627,000000,0.0211,0.02125,0.01893,0.01966,0,0
MATIC.V,D,20200628,000000,0.01966,0.02039,0.0182,0.02007,0,0
MATIC.V,D,20200629,000000,0.02007,0.02045,0.01895,0.01981,0,0
MATIC.V,D,20200630,000000,0.0198,0.01985,0.01897,0.01906,0,0
MATIC.V,D,20200701,000000,0.01906,0.01971,0.01849,0.01849,0,0
MATIC.V,D,20200702,000000,0.01858,0.01943,0.01818,0.01903,0,0
MATIC.V,D,20200703,000000,0.019,0.01966,0.01863,0.01929,0,0
MATIC.V,D,20200704,000000,0.01938,0.01963,0.01897,0.01953,0,0
MATIC.V,D,20200705,000000,0.01944,0.01972,0.01866,0.01898,0,0
MATIC.V,D,20200706,000000,0.01898,0.01977,0.01886,0.01968,0,0
MATIC.V,D,20200707,000000,0.01968,0.02057,0.01951,0.01998,0,0
MATIC.V,D,20200708,000000,0.01997,0.02187,0.01981,0.0216,0,0
MATIC.V,D,20200709,000000,0.02161,0.02187,0.01975,0.02073,0,0
MATIC.V,D,20200710,000000,0.02073,0.0214,0.02005,0.02074,0,0
MATIC.V,D,20200711,000000,0.02065,0.02176,0.0205,0.02149,0,0
MATIC.V,D,20200712,000000,0.02149,0.02162,0.0205,0.02095,0,0
MATIC.V,D,20200713,000000,0.02086,0.02375,0.02086,0.02238,0,0
MATIC.V,D,20200714,000000,0.02238,0.02261,0.02124,0.022,0,0
MATIC.V,D,20200715,000000,0.022,0.02381,0.022,0.02261,0,0
MATIC.V,D,20200716,000000,0.0227,0.02311,0.01994,0.02117,0,0
MATIC.V,D,20200717,000000,0.02108,0.02183,0.0207,0.02151,0,0
MATIC.V,D,20200718,000000,0.02141,0.02143,0.02072,0.0213,0,0
MATIC.V,D,20200719,000000,0.0213,0.02167,0.02081,0.0212,0,0
MATIC.V,D,20200720,000000,0.02129,0.02287,0.02104,0.02156,0,0
MATIC.V,D,20200721,000000,0.02156,0.02203,0.0209,0.02111,0,0
MATIC.V,D,20200722,000000,0.0212,0.02168,0.02098,0.0213,0,0
MATIC.V,D,20200723,000000,0.02121,0.0216,0.02095,0.02126,0,0
MATIC.V,D,20200724,000000,0.02126,0.02143,0.02028,0.02066,0,0
MATIC.V,D,20200725,000000,0.02066,0.0214,0.02052,0.02105,0,0
MATIC.V,D,20200726,000000,0.02106,0.02147,0.02052,0.02077,0,0
MATIC.V,D,20200727,000000,0.02077,0.02104,0.01791,0.01935,0,0
MATIC.V,D,20200728,000000,0.01946,0.021,0.01903,0.02062,0,0
MATIC.V,D,20200729,000000,0.02061,0.02098,0.02009,0.02044,0,0
MATIC.V,D,20200730,000000,0.02046,0.02108,0.02004,0.02053,0,0
MATIC.V,D,20200731,000000,0.02053,0.0208,0.02002,0.0204,0,0
MATIC.V,D,20200801,000000,0.0204,0.02154,0.02007,0.02107,0,0
MATIC.V,D,20200802,000000,0.02107,0.0215,0.01953,0.02016,0,0
MATIC.V,D,20200803,000000,0.02016,0.02103,0.01982,0.02029,0,0
MATIC.V,D,20200804,000000,0.02024,0.02093,0.02019,0.0208,0,0
MATIC.V,D,20200805,000000,0.02079,0.02207,0.0205,0.0212,0,0
MATIC.V,D,20200806,000000,0.02121,0.02238,0.02092,0.02197,0,0
MATIC.V,D,20200807,000000,0.02197,0.02239,0.02055,0.02135,0,0
MATIC.V,D,20200808,000000,0.02135,0.02284,0.02123,0.02271,0,0
MATIC.V,D,20200809,000000,0.02271,0.0238,0.02232,0.02283,0,0
MATIC.V,D,20200810,000000,0.02283,0.02447,0.02186,0.02368,0,0
MATIC.V,D,20200811,000000,0.02369,0.02624,0.02197,0.02283,0,0
MATIC.V,D,20200812,000000,0.02271,0.02589,0.02262,0.02555,0,0
MATIC.V,D,20200813,000000,0.02555,0.0287,0.02406,0.02667,0,0
MATIC.V,D,20200814,000000,0.02679,0.02853,0.02599,0.02849,0,0
MATIC.V,D,20200815,000000,0.02849,0.03248,0.02698,0.02955,0,0
MATIC.V,D,20200816,000000,0.02955,0.03104,0.02836,0.02954,0,0
MATIC.V,D,20200817,000000,0.02954,0.03207,0.02784,0.02923,0,0
MATIC.V,D,20200818,000000,0.02911,0.02966,0.02574,0.02753,0,0
MATIC.V,D,20200819,000000,0.02741,0.02754,0.02386,0.02519,0,0
MATIC.V,D,20200820,000000,0.02519,0.02693,0.02462,0.02662,0,0
MATIC.V,D,20200821,000000,0.02663,0.02888,0.02492,0.02513,0,0
MATIC.V,D,20200822,000000,0.02514,0.02653,0.02378,0.0258,0,0
MATIC.V,D,20200823,000000,0.0258,0.02618,0.02482,0.02544,0,0
MATIC.V,D,20200824,000000,0.02544,0.02841,0.02494,0.02752,0,0
MATIC.V,D,20200825,000000,0.02763,0.0282,0.02491,0.02534,0,0
MATIC.V,D,20200826,000000,0.02534,0.02747,0.02533,0.02709,0,0
MATIC.V,D,20200827,000000,0.02709,0.02766,0.02497,0.02551,0,0
MATIC.V,D,20200828,000000,0.02552,0.02721,0.02536,0.02668,0,0
MATIC.V,D,20200829,000000,0.02668,0.02863,0.02647,0.02798,0,0
MATIC.V,D,20200830,000000,0.02786,0.02872,0.02728,0.02739,0,0
MATIC.V,D,20200831,000000,0.0274,0.02765,0.02624,0.02642,0,0
MATIC.V,D,20200901,000000,0.02642,0.02699,0.02546,0.02574,0,0
MATIC.V,D,20200902,000000,0.02574,0.02603,0.0216,0.02334,0,0
