,LMA,MinPrice,MaxPrice,Position,MARKET,STRATEGY,OUT
847,180,9,15,,2.854716432113183,2.854716432113183,0.0
846,180,9,13,,2.854716432113183,2.854716432113183,0.0
845,180,9,11,,2.854716432113183,2.854716432113183,0.0
843,180,9,7,,2.854716432113183,2.854716432113183,0.0
835,180,7,11,,2.854716432113183,2.854716432113183,0.0
842,180,9,5,,2.854716432113183,2.854716432113183,0.0
841,180,9,3,,2.854716432113183,2.854716432113183,0.0
840,180,9,1,,2.854716432113183,2.854716432113183,0.0
839,180,7,19,,2.854716432113183,2.854716432113183,0.0
838,180,7,17,,2.854716432113183,2.854716432113183,0.0
837,180,7,15,,2.854716432113183,2.854716432113183,0.0
836,180,7,13,,2.854716432113183,2.854716432113183,0.0
893,180,19,7,,2.854716432113183,2.854716432113183,0.0
894,180,19,9,,2.854716432113183,2.854716432113183,0.0
895,180,19,11,,2.854716432113183,2.854716432113183,0.0
896,180,19,13,,2.854716432113183,2.854716432113183,0.0
953,200,11,7,,2.8372619710603706,2.8372619710603706,0.0
952,200,11,5,,2.8372619710603706,2.8372619710603706,0.0
951,200,11,3,,2.8372619710603706,2.8372619710603706,0.0
950,200,11,1,,2.8372619710603706,2.8372619710603706,0.0
949,200,9,19,,2.8372619710603706,2.8372619710603706,0.0
948,200,9,17,,2.8372619710603706,2.8372619710603706,0.0
947,200,9,15,,2.8372619710603706,2.8372619710603706,0.0
946,200,9,13,,2.8372619710603706,2.8372619710603706,0.0
945,200,9,11,,2.8372619710603706,2.8372619710603706,0.0
944,200,9,9,,2.8372619710603706,2.8372619710603706,0.0
943,200,9,7,,2.8372619710603706,2.8372619710603706,0.0
942,200,9,5,,2.8372619710603706,2.8372619710603706,0.0
941,200,9,3,,2.8372619710603706,2.8372619710603706,0.0
940,200,9,1,,2.8372619710603706,2.8372619710603706,0.0
939,200,7,19,,2.8372619710603706,2.8372619710603706,0.0
938,200,7,17,,2.8372619710603706,2.8372619710603706,0.0
937,200,7,15,,2.8372619710603706,2.8372619710603706,0.0
954,200,11,9,,2.8372619710603706,2.8372619710603706,0.0
955,200,11,11,,2.8372619710603706,2.8372619710603706,0.0
956,200,11,13,,2.8372619710603706,2.8372619710603706,0.0
966,200,13,13,,2.8372619710603706,2.8372619710603706,0.0
973,200,15,7,,2.8372619710603706,2.8372619710603706,0.0
972,200,15,5,,2.8372619710603706,2.8372619710603706,0.0
971,200,15,3,,2.8372619710603706,2.8372619710603706,0.0
970,200,15,1,,2.8372619710603706,2.8372619710603706,0.0
969,200,13,19,,2.8372619710603706,2.8372619710603706,0.0
968,200,13,17,,2.8372619710603706,2.8372619710603706,0.0
967,200,13,15,,2.8372619710603706,2.8372619710603706,0.0
965,200,13,11,,2.8372619710603706,2.8372619710603706,0.0
957,200,11,15,,2.8372619710603706,2.8372619710603706,0.0
964,200,13,9,,2.8372619710603706,2.8372619710603706,0.0
963,200,13,7,,2.8372619710603706,2.8372619710603706,0.0
962,200,13,5,,2.8372619710603706,2.8372619710603706,0.0
961,200,13,3,,2.8372619710603706,2.8372619710603706,0.0
960,200,13,1,,2.8372619710603706,2.8372619710603706,0.0
959,200,11,19,,2.8372619710603706,2.8372619710603706,0.0
