trade_id,<CLOSE>,size,time,bid,ask,volume,std_dev
160708400,49638,0.00086257,2021-04-24T13:28:42.642968Z,49638,49638.01,18824.17884,31.21654651
160708555,49669.82,0.01974254,2021-04-24T13:29:12.6324Z,49669.81,49669.82,18824.17884,27.18032774
160708673,49644.27,0.00963694,2021-04-24T13:29:43.575805Z,49642.19,49646.89,18829.91552,16.93886347
160708799,49600.01,0.08333236,2021-04-24T13:30:13.742505Z,49600,49600.01,18840.81437,23.3793709
160708902,49613.26,0.00013727,2021-04-24T13:30:42.76364Z,49615.53,49618.43,18840.81437,24.43647716
160708993,49606.3,0.00789929,2021-04-24T13:31:13.461898Z,49606.29,49606.3,18848.21397,26.37113528
160709093,49659.98,0.00987959,2021-04-24T13:31:43.088175Z,49661.82,49661.83,18848.21397,23.26659631
160709197,49648.29,0.0489776,2021-04-24T13:32:13.497362Z,49648.28,49648.29,18851.71948,23.98511655
160709287,49671.13,0.00908664,2021-04-24T13:32:43.220408Z,49671.13,49671.14,18855.24636,25.64177326
160709431,49684.87,0.00987918,2021-04-24T13:33:13.339398Z,49677.8,49677.81,18855.24636,26.79545976
160709542,49670.16,0.00577922,2021-04-24T13:33:43.942655Z,49670.15,49670.16,18864.70068,12.2119525
160709648,49668.79,0.01579527,2021-04-24T13:34:13.394501Z,49668.78,49668.79,18864.70068,11.71382157
160709776,49690.13,0.0168,2021-04-24T13:34:43.798551Z,49690.12,49690.13,18869.40117,8.751904009
160709881,49738.12,0.00012447,2021-04-24T13:35:13.862348Z,49735.08,49738.12,18878.75477,25.23688142
160709989,49768.05,0.00125917,2021-04-24T13:35:43.99127Z,49768.05,49768.06,18878.75477,39.49007723
160710100,49762.6,0.00047002,2021-04-24T13:36:12.77806Z,49758.81,49765.83,18884.66088,39.5303192
160710227,49714.49,0.00018036,2021-04-24T13:36:43.724653Z,49714.48,49714.49,18884.66088,29.31639636
160710334,49700.01,0.00079296,2021-04-24T13:37:12.912598Z,49700.01,49700.02,18887.17452,26.43890512
160710458,49652.76,0.03945337,2021-04-24T13:37:43.798405Z,49652.75,49652.76,18891.69745,42.60015652
160710570,49674.3,0.01184721,2021-04-24T13:38:13.262781Z,49669.75,49673.96,18891.69745,37.46295952
160710702,49619.99,0.00027074,2021-04-24T13:38:44.001822Z,49619.98,49619.99,18901.43655,33.67487906
160710835,49607.24,0.00032092,2021-04-24T13:39:13.299454Z,49607.23,49607.24,18901.43655,34.13041869
160710949,49602.72,0.00104331,2021-04-24T13:39:44.02718Z,49602.71,49602.72,18914.77892,27.68788789
160711031,49588.22,0.05,2021-04-24T13:40:13.945041Z,49584.45,49589.87,18923.74312,29.69354919
160711139,49607.94,0.05658881,2021-04-24T13:40:43.85503Z,49607.93,49607.94,18923.74312,10.245796
160711238,49623.84,0.00047135,2021-04-24T13:41:13.820012Z,49623.83,49623.84,18926.37496,11.40572908
160711348,49695.6,0.00231189,2021-04-24T13:41:43.726938Z,49695.59,49695.6,18926.37496,37.72795123
160711425,49660.01,0.00050091,2021-04-24T13:42:13.940057Z,49660,49660.01,18936.05084,38.32216925
160711539,49616.3,0.00018059,2021-04-24T13:42:43.853264Z,49611.2,49616.29,18938.46029,32.67940048
160711627,49658,0.00152441,2021-04-24T13:43:14.119336Z,49657.99,49658,18938.46029,28.49836205
160711731,49636.36,0.00394932,2021-04-24T13:43:43.793656Z,49636.35,49636.36,18941.95103,26.50417748
160711833,49656.12,0.00018055,2021-04-24T13:44:13.62957Z,49656.11,49656.12,18941.95103,16.82648673
160711919,49650.91,0.0090214,2021-04-24T13:44:43.308164Z,49650.9,49650.91,18952.42562,15.58996394
160712035,49600.01,0.00790382,2021-04-24T13:45:13.284055Z,49600,49600.01,18955.77946,21.51715687
160712171,49524.9,0.05793212,2021-04-24T13:45:43.855126Z,49524.89,49524.96,18955.77946,48.51878852
160712332,49512.67,0.00018094,2021-04-24T13:46:13.847051Z,49508.35,49512.85,18959.23075,60.65346005
160712445,49511.86,0.01108418,2021-04-24T13:46:43.913182Z,49511.85,49511.86,18959.23075,55.95534326
160712558,49536.2,0.00016098,2021-04-24T13:47:13.801717Z,49536.19,49536.2,18967.08806,32.68393085
160712696,49525.55,0.01255696,2021-04-24T13:47:43.538973Z,49522.79,49525.53,18976.34683,9.080115842
160712831,49567.3,0.01411754,2021-04-24T13:48:13.809447Z,49562.46,49567.29,18976.34683,20.37821248
160712956,49573.49,0.04314184,2021-04-24T13:48:43.898071Z,49573.49,49573.5,18980.37441,23.83484927
160713078,49568.04,0.0284,2021-04-24T13:49:13.578962Z,49567.46,49568.03,18980.37441,19.39096139
160713183,49570.71,0.01483295,2021-04-24T13:49:43.448554Z,49570.7,49570.71,18985.14637,17.86749383
160713291,49584.44,0.00100412,2021-04-24T13:50:13.892649Z,49584.43,49584.44,18989.80028,6.216772775
160713391,49561.22,0.005,2021-04-24T13:50:43.68002Z,49561.21,49561.22,18989.80028,7.611120794
160713477,49610.59,0.002,2021-04-24T13:51:13.824678Z,49610.58,49610.59,18993.64362,17.5071174
160713582,49610.91,0.03952435,2021-04-24T13:51:44.234795Z,49610.9,49610.91,18993.64362,20.31282806
160713707,49554.52,0.00395074,2021-04-24T13:52:15.838851Z,49552.02,49552.03,19000.25297,23.74364807
160713818,49550.02,0.00494827,2021-04-24T13:52:45.757863Z,49550.01,49550.02,19004.69744,27.42055389
160713904,49510.23,0.00096433,2021-04-24T13:53:13.682679Z,49510.22,49510.23,19004.69744,38.71629455
160714005,49536.42,0.00018107,2021-04-24T13:53:44.329637Z,49536.41,49536.42,19010.26303,33.06734401
160714117,49543.11,0.00289749,2021-04-24T13:54:15.362284Z,49532.77,49542.96,19010.26303,15.57866617
160714199,49568.95,0.00018094,2021-04-24T13:54:46.009544Z,49560.03,49568.95,19015.48969,19.14158676
160714298,49623.58,0.00194543,2021-04-24T13:55:15.095838Z,49623.57,49623.58,19018.37772,38.41388155
160714402,49666.29,0.02719277,2021-04-24T13:55:45.851336Z,49674.92,49678.37,19018.37772,49.86627517
160714503,49670.09,0.00385026,2021-04-24T13:56:15.830252Z,49670.08,49670.09,19023.23024,51.04152646
160714577,49676.08,0.00047075,2021-04-24T13:56:45.619126Z,49676.08,49676.09,19023.23024,40.52425812
160714686,49688.92,0.02960529,2021-04-24T13:57:15.455141Z,49688.91,49688.92,19026.43228,22.08221492
160714806,49672.15,0.0009613,2021-04-24T13:57:45.745874Z,49670.33,49670.34,19029.19391,7.779399963
160714918,49665.62,0.00592196,2021-04-24T13:58:15.881652Z,49665.61,49665.62,19029.19391,7.927570611
160715045,49671.83,0.01,2021-04-24T13:58:45.675738Z,49667.32,49673.38,19037.53649,7.759595337
160715109,49655.5,0.0087,2021-04-24T13:59:16.014698Z,49655.5,49655.51,19037.53649,10.88246405
160715211,49607.67,0.00149055,2021-04-24T13:59:45.766629Z,49607.67,49609.81,19046.06289,24.20553705
160715329,49580.01,0.00066429,2021-04-24T14:00:15.853688Z,49580,49580.01,19052.35456,35.99659128
160715438,49540.31,0.13034978,2021-04-24T14:00:45.935966Z,49540.3,49540.31,19052.35456,48.26813342
160715579,49540.44,0.02348297,2021-04-24T14:01:15.622285Z,49529.32,49538.07,17308.17322,43.56980541
160715779,49476.24,0.00201,2021-04-24T14:01:45.896213Z,49476.23,49476.24,17308.17322,44.37696366
160715966,49483.26,0.0001812,2021-04-24T14:02:14.374186Z,49483.25,49483.26,17312.18723,39.0234839
160716127,49435.77,0.00177305,2021-04-24T14:02:44.886204Z,49452.64,49452.65,17328.80176,40.28781384
160716248,49453.59,0.00765502,2021-04-24T14:03:15.683476Z,49443.58,49449.79,17328.80176,35.52081586
160716377,49422.67,0.01237866,2021-04-24T14:03:45.921762Z,49422.66,49422.67,17338.80185,23.08405042
160716522,49455.14,0.00201197,2021-04-24T14:04:15.574089Z,49455.13,49455.14,17338.80185,20.46909924
160716668,49396.51,0.04611,2021-04-24T14:04:45.159263Z,49396.51,49396.52,17348.61489,21.72409316
160716877,49360.05,0.0074438,2021-04-24T14:05:15.844186Z,49359.78,49365.67,17360.67595,36.01951382
160717015,49324,0.00036673,2021-04-24T14:05:45.795944Z,49324,49324.45,17360.67595,46.02590514
160717137,49329.87,0.00388472,2021-04-24T14:06:15.524506Z,49334.43,49339.57,17371.85482,48.4324976
160717259,49306.42,0.00155351,2021-04-24T14:06:45.572646Z,49306.41,49306.42,17371.85482,31.70120313
160717433,49361.83,0.00064093,2021-04-24T14:07:15.552357Z,49361.82,49361.83,17381.94229,21.45321849
160717558,49311.05,0.0265,2021-04-24T14:07:45.122588Z,49314.99,49315,17400.15994,19.53271573
160717680,49369.83,0.00193928,2021-04-24T14:08:15.716043Z,49369.82,49369.83,17400.15994,25.87088556
160717787,49336.67,0.00993646,2021-04-24T14:08:45.542555Z,49331.42,49331.43,17404.54461,25.70158594
160717904,49332.77,0.01926464,2021-04-24T14:09:15.773643Z,49330.3,49332.77,17404.54461,21.15806039
160718021,49336.96,0.00496788,2021-04-24T14:09:45.698723Z,49336.95,49336.96,17407.52234,18.80518608
160718147,49343.16,0.00058791,2021-04-24T14:10:15.995311Z,49337.59,49343.16,17414.73423,13.39569691
160718283,49336.97,0.01072303,2021-04-24T14:10:45.696682Z,49336.96,49336.97,17414.73423,3.331117475
160718438,49328.99,0.00068594,2021-04-24T14:11:15.583257Z,49329.05,49332.36,17424.26354,4.742079673
160718529,49339.47,0.00195639,2021-04-24T14:11:45.670257Z,49339.46,49339.47,17424.26354,4.650776239
160718631,49389.38,0.00993157,2021-04-24T14:12:15.63342Z,49389.37,49389.38,17430.14117,21.40424125
160718718,49376.82,0.00080635,2021-04-24T14:12:45.88771Z,49376.81,49376.82,17432.79928,24.07740567
160718931,49264.07,0.05149266,2021-04-24T14:13:15.929016Z,49264.07,49264.08,17432.79928,44.00145479
160719108,49252.22,0.07546,2021-04-24T14:13:45.433364Z,49255.02,49255.03,17444.82983,56.65160665
160719268,49274.66,0.00272112,2021-04-24T14:14:15.427372Z,49274.59,49274.6,17444.82983,59.08109884
160719460,49210,0.04,2021-04-24T14:14:45.363116Z,49205.75,49218.65,17464.57039,55.18928649
160719763,49207.15,0.00421057,2021-04-24T14:15:15.709787Z,49207.14,49207.15,17479.32166,27.91418778
160719920,49282.22,0.0015643,2021-04-24T14:15:45.650463Z,49271.35,49281.55,17479.32166,31.54197964
160720045,49263.06,0.17803692,2021-04-24T14:16:15.24218Z,49263.05,49263.06,17509.13221,32.30973995
160720150,49307.69,0.00039954,2021-04-24T14:16:43.954483Z,49294.61,49294.62,17509.13221,39.72905163
160720281,49322.06,0.00012145,2021-04-24T14:17:17.3854Z,49321.89,49322.07,17514.90981,40.17781407
160720368,49342.39,0.00047418,2021-04-24T14:17:47.496067Z,49342.38,49342.39,17519.38899,28.15206038
160720606,49346.83,0.0003934,2021-04-24T14:18:17.958372Z,49346.82,49346.83,17519.38899,30.18118658
160720709,49328.82,0.01986709,2021-04-24T14:18:47.965796Z,49322.97,49328.82,17542.90088,14.12767694
160720826,49308.62,0.00101957,2021-04-24T14:19:15.007103Z,49303.96,49308.57,17542.90088,13.84177531
160720917,49265.88,0.01013392,2021-04-24T14:19:47.431501Z,49265.19,49269.67,17547.40168,29.48322193
160721025,49345.27,0.00115015,2021-04-24T14:20:15.813057Z,49338.09,49345.27,17552.50213,29.96830899
160721195,49372.92,0.00022426,2021-04-24T14:20:47.680687Z,49372.91,49372.92,17552.50213,36.00787269
160721296,49358.06,0.00168826,2021-04-24T14:21:15.691299Z,49358.88,49364.29,17558.57842,38.55134031
160721400,49376.64,0.00096775,2021-04-24T14:21:48.010958Z,49377.96,49377.97,17558.57842,40.50546708
160721480,49390.26,0.00056438,2021-04-24T14:22:17.530097Z,49385.04,49390.75,17561.18578,15.54242966
160721571,49379.99,0.00316309,2021-04-24T14:22:47.569763Z,49379.99,49380,17562.48898,10.48904112
160721728,49413.63,0.00300001,2021-04-24T14:23:17.785084Z,49413.62,49413.63,17562.48898,18.22006871
160721892,49413.91,0.01983648,2021-04-24T14:23:47.887091Z,49410.01,49413.91,17568.2835,16.05899946
160722032,49399.38,0.00927183,2021-04-24T14:24:17.704139Z,49391.69,49397.82,17568.2835,13.21601542
160722129,49365.61,0.00096709,2021-04-24T14:24:47.552806Z,49360.05,49365.66,17573.35879,19.03518594
160722271,49300.31,0.00011147,2021-04-24T14:25:17.530825Z,49300.31,49306.01,17579.18174,42.90399627
160722406,49316.94,0.01988191,2021-04-24T14:25:47.681251Z,49316.93,49316.94,17579.18174,44.50312303
160722503,49259.63,0.0005583,2021-04-24T14:26:18.437557Z,49259.63,49259.64,17585.25027,49.13742712
160722604,49316.8,0.00970182,2021-04-24T14:26:46.875201Z,49312.64,49315.95,17585.25027,34.06067491
160722710,49317.4,0.00006338,2021-04-24T14:27:17.461707Z,49309.91,49316.38,17588.705,22.25867614
160722820,49363.82,0.00202375,2021-04-24T14:27:46.864193Z,49357.16,49363.48,17593.15956,33.0513518
160722959,49435.57,0.01985633,2021-04-24T14:28:17.779573Z,49427.67,49435.52,17593.15956,58.65178688
160723076,49404.18,0.00195429,2021-04-24T14:28:47.725075Z,49400.59,49404.18,17595.31681,47.05948389
160723164,49408.68,0.0008062,2021-04-24T14:29:17.764204Z,49401.89,49408.54,17595.31681,41.23097767
160723322,49370.35,0.00047366,2021-04-24T14:29:47.510256Z,49369.75,49369.76,17599.61079,26.40303997
160723435,49442.7,0.00031244,2021-04-24T14:30:17.701773Z,49438.18,49438.19,17606.82134,25.70795254
160723538,49445.1,0.00195262,2021-04-24T14:30:48.183749Z,49445.09,49445.1,17606.82134,27.64327505
160723666,49431.77,0.00967446,2021-04-24T14:31:17.692601Z,49431.76,49431.77,17610.10278,27.84494855
160723819,49481.98,0.04014728,2021-04-24T14:31:47.459757Z,49481.97,49481.98,17610.10278,36.21202507
160723965,49505.34,0.02216149,2021-04-24T14:32:18.265956Z,49503.4,49505.53,17614.5271,27.7401315
160724059,49450,0.00256648,2021-04-24T14:32:47.84925Z,49450,49450.01,17622.44386,26.89798386
160724151,49453.86,0.00079252,2021-04-24T14:33:17.624846Z,49453.86,49453.87,17622.44386,25.95429829
160724268,49523.57,0.00204891,2021-04-24T14:33:46.178472Z,49515.15,49515.16,17625.63741,28.5803009
160724414,49551.61,0.00037208,2021-04-24T14:34:17.814778Z,49545.12,49550.87,17625.63741,39.56704517
160724570,49542.92,0.0002712,2021-04-24T14:34:47.930797Z,49532.32,49542.92,17631.75777,43.80345803
160724719,49518.58,0.01003966,2021-04-24T14:35:17.67477Z,49518.57,49518.58,17636.46016,34.33913534
160724839,49515.79,0.00073196,2021-04-24T14:35:47.672278Z,49505.23,49511.48,17636.46016,14.18720352
160724970,49443.56,0.00056333,2021-04-24T14:36:17.831688Z,49441.23,49443.56,17643.96308,38.04114162
160725116,49434.33,0.00096616,2021-04-24T14:36:47.865132Z,49434.32,49434.33,17643.96308,43.66445446
160725229,49461.11,0.00018127,2021-04-24T14:37:17.122616Z,49453.48,49461.11,17649.07388,35.77139561
160725337,49439.59,0.11897394,2021-04-24T14:37:47.264646Z,49439.58,49439.59,17652.37328,29.84369253
160725421,49446.92,0.00041811,2021-04-24T14:38:17.818804Z,49445.67,49445.68,17652.37328,9.037223893
160725589,49400.02,0.00193581,2021-04-24T14:38:47.656157Z,49400.01,49400.02,17656.42304,20.29393859
160725699,49406.87,0.00096702,2021-04-24T14:39:17.826115Z,49405.02,49406.87,17656.42304,23.56190094
160725832,49354.83,0.32767216,2021-04-24T14:39:47.724097Z,49352.57,49352.58,17659.0986,32.83642526
160725941,49369.14,0.01176701,2021-04-24T14:40:17.424227Z,49365.27,49365.28,17661.96198,32.07056756
160726080,49330.34,0.00310353,2021-04-24T14:40:47.907289Z,49330.33,49330.34,17661.96198,28.42285488
160726214,49300.75,0.00921649,2021-04-24T14:41:19.91649Z,49292.64,49300.73,17668.83809,35.79798463
160726343,49276.17,0.01310878,2021-04-24T14:41:49.393492Z,49276.16,49276.17,17668.83809,34.150704
160726470,49315.62,0.00195671,2021-04-24T14:42:19.828488Z,49305.45,49315.21,17676.4527,31.04749561
160726576,49290.41,0.01989187,2021-04-24T14:42:49.513551Z,49287.36,49290.45,17680.11946,18.9186399
160726687,49336.35,0.00236122,2021-04-24T14:43:19.555329Z,49332.31,49339.87,17680.11946,20.74226795
160726800,49316.04,0.00023058,2021-04-24T14:43:49.552901Z,49318.47,49326.02,17687.1648,21.18080205
160726919,49398.77,0.00195693,2021-04-24T14:44:19.777766Z,49389.16,49397.96,17690.02653,36.68332122
160727008,49419.2,0.03750464,2021-04-24T14:44:49.512234Z,49419.2,49419.21,17690.02653,49.06022119
160727176,49521.3,0.00018118,2021-04-24T14:45:19.829912Z,49521.29,49521.3,17696.40547,72.3471297
160727348,49517.84,0.00037185,2021-04-24T14:45:49.937113Z,49508.74,49517.84,17696.40547,77.48961943
160727458,49528.42,0.00028288,2021-04-24T14:46:19.691277Z,49528.41,49528.42,17714.29887,56.09835776
160727545,49474.65,0.01005112,2021-04-24T14:46:49.13206Z,49467.45,49475.02,17714.29887,41.11709347
160727655,49510,0.00211023,2021-04-24T14:47:19.961409Z,49509.99,49510,17717.92304,18.85257372
160727763,49526.72,0.00013202,2021-04-24T14:47:49.712405Z,49526.72,49526.73,17721.74844,19.58723829
160727873,49474.66,0.00002121,2021-04-24T14:48:19.803979Z,49474.65,49474.66,17721.74844,23.93588268
160727977,49500,0.00100335,2021-04-24T14:48:49.657503Z,49494.14,49500,17730.99144,20.29612928
160728099,49497.51,0.00052252,2021-04-24T14:49:18.615076Z,49483.91,49491.84,17733.41015,17.00863121
160728206,49489.88,0.00396043,2021-04-24T14:49:49.930443Z,49489.87,49489.88,17733.41015,16.96741535
160728294,49485.36,0.00037223,2021-04-24T14:50:19.3675Z,49485.35,49485.36,17737.07398,9.076542057
160728374,49465.16,0.0022594,2021-04-24T14:50:50.015208Z,49462.59,49465.16,17737.07398,12.37526629
160728493,49430.94,0.00968273,2021-04-24T14:51:19.745106Z,49429.66,49430.94,17746.34871,23.94154882
160728618,49384.53,0.00195463,2021-04-24T14:51:49.694989Z,49385.29,49394.41,17746.34871,39.27666666
160728711,49417.7,0.00195298,2021-04-24T14:52:19.834161Z,49409.49,49418.22,17748.66891,35.47857516
160728820,49357.86,0.0001816,2021-04-24T14:52:49.337098Z,49351,49356.28,17751.35586,37.14844944
160728910,49400.01,0.00096802,2021-04-24T14:53:19.823209Z,49400,49400.01,17751.35586,25.57192945
160729026,49373.85,0.00213276,2021-04-24T14:53:49.936771Z,49373.84,49373.85,17754.44297,20.68667493
160729152,49348.03,0.02,2021-04-24T14:54:19.286765Z,49348.03,49348.04,17760.22327,25.96333029
160729250,49387.12,0.0089316,2021-04-24T14:54:49.606227Z,49373.81,49382.59,17760.22327,18.87674823
160729375,49432.26,0.01589324,2021-04-24T14:55:19.328848Z,49432.24,49432.25,17767.28687,27.93371768
160729529,49414.92,0.01581728,2021-04-24T14:55:49.603893Z,49403.63,49411.53,17767.28687,29.76532653
160729645,49350.01,0.00083283,2021-04-24T14:56:19.618027Z,49350,49350.01,17770.06949,33.80388817
160729809,49318.9,0.00992863,2021-04-24T14:56:48.533694Z,49308.96,49314.91,17770.06949,41.54938671
160729908,49316.66,0.00195679,2021-04-24T14:57:19.189976Z,49316.65,49316.66,17775.42348,48.35404264
160730017,49359.8,0.00724864,2021-04-24T14:57:49.93584Z,49359.8,49359.81,17781.49376,35.6881921
160730142,49427.69,0.00035272,2021-04-24T14:58:19.189518Z,49427.68,49427.69,17781.49376,40.2596301
160730287,49450.53,0.00063243,2021-04-24T14:58:49.695397Z,49450.02,49453.55,17784.68645,55.24928835
160730424,49420.25,0.1857903,2021-04-24T14:59:19.465372Z,49409.83,49417.54,17791.17916,49.32742466
160730596,49337.1,0.00993287,2021-04-24T14:59:49.969157Z,49334.42,49336.17,17791.17916,43.12364112
160730715,49325.85,0.00096846,2021-04-24T15:00:19.769008Z,49325.84,49325.85,17810.65787,50.76815679
160730848,49294.01,0.00096867,2021-04-24T15:00:49.269546Z,49294,49294.01,17810.65787,59.52672421
160731058,49261.2,0.00795914,2021-04-24T15:01:19.635335Z,49261.19,49261.2,16128.04674,53.318945
160731226,49234.58,0.01324389,2021-04-24T15:01:49.395159Z,49234.58,49234.59,16128.04674,38.52019594
160731472,49203.07,0.36988,2021-04-24T15:02:19.837147Z,49203.07,49210.29,16134.07046,43.15444607
160731615,49178.6,0.00037419,2021-04-24T15:02:49.631339Z,49176.69,49178.55,16152.20012,40.90666224
160731758,49185.41,0.00202244,2021-04-24T15:03:19.298204Z,49185.4,49185.41,16152.20012,31.08438025
160731903,49212.18,0.0301,2021-04-24T15:03:49.779713Z,49217.71,49217.72,16168.24844,19.93024173
160732073,49195.46,0.01088317,2021-04-24T15:04:20.01263Z,49195.45,49202.22,16174.92096,12.01167197
160732200,49205.6,0.00415112,2021-04-24T15:04:49.425536Z,49212.13,49212.14,16174.92096,12.39063838
160732334,49181.1,0.0236344,2021-04-24T15:05:20.661957Z,49184.37,49184.38,16181.61428,11.73362346
160732532,49107.91,0.0021365,2021-04-24T15:05:51.764965Z,49107.9,49107.91,16181.61428,37.75470725
160732698,49104.98,0.003897,2021-04-24T15:06:21.685735Z,49104.97,49104.98,16186.15341,43.6294616
160732841,49106.05,0.00011347,2021-04-24T15:06:50.070428Z,49106.03,49106.04,16200.50815,43.34738534
160732969,49131.06,0.01196393,2021-04-24T15:07:21.70743Z,49131.05,49131.06,16200.50815,29.08079297
160733113,49100.01,0.01957683,2021-04-24T15:07:51.123584Z,49100,49100.01,16204.31953,10.84891402
160733278,49103.14,0.00047617,2021-04-24T15:08:21.602822Z,49103.13,49103.14,16204.31953,11.19512999
