trade_id,price,size,time,bid,ask,volume,std_dev
158127641,56367.28,0.00141529,2021-04-19T20:41:01.976157Z,56367.56,56368.67,17245.05364063,15.858806264508706
158127816,56417.22,0.0196,2021-04-19T20:41:31.549994Z,56420.74,56420.75,17245.05364063,17.43004831132727
158127975,56421.93,0.11556334,2021-04-19T20:42:01.808989Z,56421.93,56421.94,17256.25902859,19.24194689045816
158128176,56450.71,0.005,2021-04-19T20:42:31.082962Z,56450.7,56450.71,17256.25902859,27.11755402198304
158128413,56451.03,0.0003261,2021-04-19T20:43:01.873241Z,56451.02,56451.03,17267.20150186,30.60544696839229
158128569,56432.98,0.0015,2021-04-19T20:43:31.827004Z,56432.98,56432.99,17282.87007796,14.103498294215267
158128715,56433,0.17370826,2021-04-19T20:44:01.94292Z,56432.99,56433,17282.87007796,11.3114614500035
158128887,56373.75,0.00017683,2021-04-19T20:44:31.868342Z,56373.74,56373.75,17286.76845883,28.420259395984896
158129032,56351.22,0.00755117,2021-04-19T20:45:01.380839Z,56351.22,56351.23,17286.76845883,38.72164283879705
158129192,56333.21,0.0004351,2021-04-19T20:45:31.523708Z,56333.21,56333.22,17294.22410806,41.36615592650354
158129365,56303.72,0.00346317,2021-04-19T20:46:01.503736Z,56303.72,56303.73,17298.18901339,43.53180768284529
158129514,56294.25,0.0061103,2021-04-19T20:46:30.517709Z,56294.26,56295.89,17298.18901339,29.44755134364842
158129679,56293.96,0.00389279,2021-04-19T20:47:01.843868Z,56293.95,56293.96,17306.24207116,22.993934333583702
158129808,56309.2,0.00849644,2021-04-19T20:47:31.360867Z,56309.19,56309.2,17306.24207116,14.388046988293954
158129901,56304.94,0.08706304,2021-04-19T20:48:01.983012Z,56304.93,56304.94,17320.9031739,6.08370151614649
158129991,56304.94,0.01741265,2021-04-19T20:48:30.85539Z,56304.93,56304.94,17324.34583127,6.202620102630552
158130119,56303.58,0.00034221,2021-04-19T20:49:00.952606Z,56303.54,56304.94,17324.34583127,5.0497588197341425
158130232,56304.4,0.00169936,2021-04-19T20:49:31.555608Z,56304.39,56304.4,17326.64493375,1.9583095101087897
158130398,56293.7,0.0100064,2021-04-19T20:50:01.86197Z,56292.49,56293.7,17326.64493375,4.334671399029368
158130681,56272.57,0.00927152,2021-04-19T20:50:32.002269Z,56272.56,56272.57,17332.75703732,12.345555319138558
158130793,56273.8,0.0394185,2021-04-19T20:51:01.816933Z,56272.59,56273.8,17348.85861321,13.93521295632654
158130913,56250.01,0.00032739,2021-04-19T20:51:31.975013Z,56250,56250.01,17348.85861321,18.81489261565492
158131051,56294.09,0.008708,2021-04-19T20:52:01.750045Z,56294.08,56294.09,17352.69399407,16.304265213087476
158131228,56302.83,0.00015913,2021-04-19T20:52:31.359794Z,56302.82,56302.83,17352.69399407,18.459707477061123
158131343,56302.18,0.00023871,2021-04-19T20:53:02.13594Z,56302.17,56302.18,17382.59191802,20.221552268271864
158131473,56294.09,0.0001785,2021-04-19T20:53:31.196647Z,56294.09,56294.1,17384.59071135,19.679276412976495
158131584,56294.1,0.034832,2021-04-19T20:54:01.679058Z,56294.09,56294.1,17384.59071135,4.125983051121278
158131673,56294.1,0.00029182,2021-04-19T20:54:31.334336Z,56294.09,56294.1,17388.24391186,4.124352087072252
158131794,56294.1,0.00522468,2021-04-19T20:55:01.800125Z,56294.09,56294.1,17388.24391186,3.2330023411960314
158131947,56255.83,0.00015937,2021-04-19T20:55:31.689719Z,56255.82,56255.83,17391.68113121,15.307000494494236
158132087,56263.27,0.00044018,2021-04-19T20:56:01.009231Z,56263.26,56263.27,17408.26896582,17.08870855678446
158132197,56256.14,0.4756441,2021-04-19T20:56:31.735413Z,56256.13,56256.14,17408.26896582,17.68431327869591
158132356,56226.32,0.00015953,2021-04-19T20:57:01.85325Z,56226.31,56226.32,17417.16332495,21.616506103893684
158132510,56200.01,0.00010002,2021-04-19T20:57:31.844243Z,56200.01,56200.02,17417.16332495,23.82616595553016
158132657,56202.98,0.00015952,2021-04-19T20:58:03.851878Z,56202.97,56202.98,17430.51167905,26.20262475670819
158132782,56193.11,0.00417109,2021-04-19T20:58:34.097695Z,56193.1,56193.11,17441.70317291,23.09311534075622
158132926,56181.3,0.001779,2021-04-19T20:59:03.668847Z,56181.3,56181.31,17441.70317291,14.805521407301779
158133047,56209.13,0.15074159,2021-04-19T20:59:33.457786Z,56209.12,56209.13,17451.47519775,9.519572686954664
158133182,56200.05,0.0013535,2021-04-19T21:00:03.419818Z,56200.05,56200.06,17451.47519775,9.52185822947485
158133373,56209.12,0.03404593,2021-04-19T21:00:34.034158Z,56209.11,56209.12,17467.65854356,10.51729129301859
158133495,56211.78,0.00032807,2021-04-19T21:01:03.947113Z,56211.78,56211.79,16459.27467726,11.216874080694264
158133636,56206.41,0.00041617,2021-04-19T21:01:33.750346Z,56206.4,56206.41,16459.27467726,4.0021564364893685
158133852,56202.8,0.00391581,2021-04-19T21:02:03.717648Z,56202.79,56202.8,16467.86659141,4.217778579079448
158134031,56201.46,0.06977883,2021-04-19T21:02:33.410775Z,56201.45,56201.46,16467.86659141,3.838476799740483
158134137,56202.85,0.00872176,2021-04-19T21:03:03.278592Z,56202.84,56202.85,16478.53152219,3.739855631191367
158134292,56263.21,0.00018595,2021-04-19T21:03:33.275402Z,56263.2,56263.21,16481.41445327,23.988279307654576
158134425,56278.21,0.00023884,2021-04-19T21:04:03.859057Z,56278.2,56278.21,16481.41445327,33.81765846628109
158134581,56303.42,0.00036246,2021-04-19T21:04:33.860581Z,56303.41,56303.42,16487.84710819,40.99540023151605
158134718,56302.43,0.10750688,2021-04-19T21:05:03.884944Z,56302.42,56302.43,16487.84710819,36.854386769316434
158134867,56257.52,0.00015945,2021-04-19T21:05:33.8661Z,56257.51,56257.52,16494.37890668,19.17013865736008
158135037,56250.26,0.000124,2021-04-19T21:06:03.972299Z,56250.25,56250.26,16507.0144289,22.051332298578743
158135197,56250.56,0.35578319,2021-04-19T21:06:33.761081Z,56254.8,56254.81,16507.0144289,24.70490510288021
158135344,56311.52,0.00084845,2021-04-19T21:07:03.562744Z,56311.51,56311.52,16516.78768875,26.831243283572842
158135449,56316.61,0.0001592,2021-04-19T21:07:33.878387Z,56316.6,56316.61,16516.78768875,30.17854178290153
158135651,56318.84,0.00856138,2021-04-19T21:08:03.805461Z,56313.17,56318.26,16530.00885514,32.052308749017584
158135826,56258.58,0.00171549,2021-04-19T21:08:33.634862Z,56257.97,56258.58,16540.43301001,30.127103016094164
158135931,56237.08,0.00348589,2021-04-19T21:09:03.882442Z,56237.07,56237.08,16540.43301001,33.99949270419035
158136081,56210.11,0.0005,2021-04-19T21:09:33.166082Z,56210.1,56210.11,16544.08940811,43.228173499955155
158136207,56227.14,0.00237249,2021-04-19T21:10:03.376682Z,56233.8,56233.81,16544.08940811,37.663424169107955
158136343,56268.33,0.0087219,2021-04-19T21:10:33.964636Z,56268.32,56268.33,16548.38610898,21.046690384529814
158136470,56254.82,0.00028581,2021-04-19T21:11:03.866486Z,56254.82,56254.83,16556.74153933,20.436581518009444
158136556,56252.65,0.00014565,2021-04-19T21:11:33.301103Z,56252.67,56254.83,16556.74153933,21.009402660291325
158136705,56285.78,0.01741379,2021-04-19T21:12:03.736595Z,56279.17,56279.18,16559.85480232,19.334860334179993
158136840,56266.16,0.00487043,2021-04-19T21:12:34.346208Z,56266.15,56266.16,16559.85480232,11.822827755755805
158136958,56278.66,0.00142505,2021-04-19T21:13:03.442026Z,56278.65,56278.66,16564.02096288,12.974895149568976
158137072,56286.64,0.01306411,2021-04-19T21:13:33.556365Z,56286.63,56286.64,16568.4230723,12.942482611244783
158137168,56286.64,0.00147469,2021-04-19T21:14:04.070298Z,56286.63,56286.64,16568.4230723,7.898327933330285
158137281,56289.64,0.00171589,2021-04-19T21:14:33.616983Z,56289.63,56289.64,16571.68121777,8.514322999653979
158137406,56285.01,0.00355326,2021-04-19T21:15:03.764109Z,56285,56285.01,16571.68121777,3.649626849762862
158137528,56296.67,0.17418365,2021-04-19T21:15:33.686447Z,56296.66,56296.67,16574.79303275,4.153692350496256
158137640,56286.01,0.00091945,2021-04-19T21:16:03.776774Z,56286,56286.01,16578.42550904,4.229801903466436
